impl,latency_us,mode,variant,heads,batch,seq_len,tokens_s,key_dim,value_dim,state_dtype,note
trtllm_kda_fused_decode,10.885119438171387,decode,KDA + conv + gated RMSNorm,12,32,1,2939793.1903056586,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
b10_kda_decode,30.049920082092285,decode,KDA only,12,128,1,4259578.716027246,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,49.256319999694824,decode,KDA only,12,128,1,2598651.299991413,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,40.609917640686035,decode,KDA only,12,128,1,3151939.413729815,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,46.16256237030029,decode,KDA only,12,128,1,2772809.6844630884,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,35.78432083129883,decode,KDA only,12,128,1,3576985.5910760933,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,57.5219202041626,decode,KDA only,12,128,1,2225238.6489479053,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,38.363521099090576,decode,KDA only,12,128,1,3336502.91560527,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,32.70848035812378,decode,KDA + fused gated RMSNorm,12,128,1,3913358.2055336526,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,33.78880023956299,decode,KDA + conv + gated RMSNorm,12,128,1,3788237.495634012,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
trtllm_kda_fused_decode,48.969597816467285,decode,KDA + conv + gated RMSNorm,12,128,1,2613866.6786631583,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
b10_kda_decode,3.3049601316452026,decode,KDA only,96,1,1,302575.51079812937,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,5.514879822731018,decode,KDA only,96,1,1,181327.61404486798,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,5.737599730491638,decode,KDA only,96,1,1,174288.9094695201,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,5.532799959182739,decode,KDA only,96,1,1,180740.31365263963,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,3.5974401235580444,decode,KDA only,96,1,1,277975.4396609529,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,4.547199904918671,decode,KDA only,96,1,1,219915.55702627188,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,4.36735987663269,decode,KDA only,96,1,1,228971.2843107899,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,3.2627201080322266,decode,KDA + fused gated RMSNorm,96,1,1,306492.732103554,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,3.5756799578666687,decode,KDA + conv + gated RMSNorm,96,1,1,279667.08759824873,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
trtllm_kda_fused_decode,8.37119996547699,decode,KDA + conv + gated RMSNorm,96,1,1,119457.18703698654,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
b10_kda_decode,11.341439485549927,decode,KDA only,96,8,1,705377.8323459523,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,21.001598834991455,decode,KDA only,96,8,1,380923.3793510491,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,19.617919921875,decode,KDA only,96,8,1,407790.42996702134,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,18.272000551223755,decode,KDA only,96,8,1,437828.3580701953,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,12.762240171432495,decode,KDA only,96,8,1,626849.1967348739,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,20.444159507751465,decode,KDA only,96,8,1,391309.80155808193,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,16.31168007850647,decode,KDA only,96,8,1,490446.1074209896,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,13.06175947189331,decode,KDA + fused gated RMSNorm,96,8,1,612474.9132928563,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,13.719680309295654,decode,KDA + conv + gated RMSNorm,96,8,1,583103.9659560921,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
trtllm_kda_fused_decode,24.284799098968506,decode,KDA + conv + gated RMSNorm,96,8,1,329424.178779383,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
b10_kda_decode,62.887678146362305,decode,KDA only,96,32,1,508843.7185663694,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,89.0982437133789,decode,KDA only,96,32,1,359154.1052474743,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,72.91071891784668,decode,KDA only,96,32,1,438892.94297120447,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,89.44831848144531,decode,KDA only,96,32,1,357748.4802762157,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,71.52383804321289,decode,KDA only,96,32,1,447403.28365301667,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,111.60767555236816,decode,KDA only,96,32,1,286718.63150653173,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,72.62464046478271,decode,KDA only,96,32,1,440621.80267202156,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,64.11263942718506,decode,KDA + fused gated RMSNorm,96,32,1,499121.550538307,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,63.498878479003906,decode,KDA + conv + gated RMSNorm,96,32,1,503945.9084396411,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
trtllm_kda_fused_decode,96.49408340454102,decode,KDA + conv + gated RMSNorm,96,32,1,331626.5502605321,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
b10_kda_decode,239.3471908569336,decode,KDA only,96,128,1,534787.9770041262,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,341.93153381347656,decode,KDA only,96,128,1,374343.94708334777,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,262.9734420776367,decode,KDA only,96,128,1,486741.1666696404,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,349.60960388183594,decode,KDA only,96,128,1,366122.6653351964,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,274.05567169189453,decode,KDA only,96,128,1,467058.38711451023,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,432.7519989013672,decode,KDA only,96,128,1,295781.41828334745,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,263.1059265136719,decode,KDA only,96,128,1,486496.0728786498,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,240.8345603942871,decode,KDA + fused gated RMSNorm,96,128,1,531485.1813229888,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,254.63808059692383,decode,KDA + conv + gated RMSNorm,96,128,1,502674.22570866765,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
trtllm_kda_fused_decode,346.6841506958008,decode,KDA + conv + gated RMSNorm,96,128,1,369212.1481270543,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
